ID,kindom,phylum,class,order,family,genus,species
OTU6102,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
OTU6103,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Zea,luxurians
OTU6104,Bacteria,Acidobacteria,iii1-8,SJA-36,,,
OTU6105,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU6106,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU6107,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU6108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,
OTU6109,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta,aurantia
OTU6110,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU6111,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU6112,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU6113,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU6114,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6115,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU6116,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin515,,
OTU6117,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU6118,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU6119,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
OTU6120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,
OTU6121,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6122,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6123,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6124,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
OTU6125,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU6126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU6127,Bacteria,Verrucomicrobia,[Methylacidiphilae],S-BQ2-57,,,
OTU6128,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU6129,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6130,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
OTU6131,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU6132,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU6133,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6134,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
OTU6135,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU6136,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6137,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU6138,Bacteria,Acidobacteria,RB25,,,,
OTU6139,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
OTU6140,Bacteria,Proteobacteria,TA18,PHOS-HD29,,,
OTU6141,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU6142,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6143,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
OTU6144,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU6145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU6146,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU6147,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
OTU6148,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU6149,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,
OTU6150,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
OTU6151,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU6152,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6153,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU6154,Bacteria,TM7,TM7-1,,,,
OTU6155,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
OTU6156,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU6157,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,OM60,,
OTU6158,Bacteria,Planctomycetes,vadinHA49,p04_C01,,,
OTU6159,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Cellvibrio,
OTU6160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudomonas,carboxydohydrogena
