ID,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,G-1,G-2,G-3,G-4,G-5,G-6,G-7,G-8,G-9,G-10,G-11,G-12,G-13,G-14,G-15,G-16,G-19,G-20,G-21,G-22,G-23,G-24,G-25
OTU6051,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,2,0,2,1,1,2,4,0,0,0,2,0,1,3,3,0,0,0,5
OTU6052,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OTU6053,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6054,0,12,16,1,63,30,41,16,22,0,0,0,28,3,0,2,3,3,5,0,0,0,0,0,0,13,0,3,3,0,0,0,51,1,26,0
OTU6055,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OTU6056,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
OTU6057,0,1,1,3,0,0,0,0,0,5,5,9,2,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0
OTU6058,3,0,0,3,0,0,0,1,0,4,5,3,1,4,6,0,8,0,0,3,5,1,6,8,51,3,0,3,1,6,1,0,0,3,0,23
OTU6059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU6060,0,0,0,0,6,0,29,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU6061,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU6062,5,0,1,3,0,0,0,0,0,0,0,2,1,9,0,2,9,3,6,4,3,5,13,7,7,1,4,5,5,2,8,6,0,2,0,0
OTU6063,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
OTU6064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU6065,3,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,2,0,0,1,2,0,0,0,1
OTU6066,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
OTU6067,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6069,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU6070,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU6071,5,4,6,8,0,6,5,3,4,0,0,4,1,9,1,4,3,8,6,1,0,2,9,0,2,3,5,16,7,3,9,13,20,14,11,7
OTU6072,3,17,12,0,39,19,5,2,11,0,0,0,51,3,0,0,4,0,0,0,0,0,0,1,0,6,0,2,2,0,0,1,6,0,0,0
OTU6073,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6074,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6075,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0
OTU6076,1,21,4,1,0,0,4,3,2,1,2,5,1,2,0,1,3,1,0,3,1,0,2,2,7,9,0,2,0,3,5,0,1,2,2,8
OTU6077,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU6078,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,2,0,2,2,3,0,0,0,1
OTU6079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU6080,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,2,3,1,8,1,1,2,1,0,1,0,0,1,1,2
OTU6081,1,0,0,0,1,0,0,0,6,1,0,0,0,4,0,3,1,1,3,1,1,0,3,1,3,0,0,2,2,0,1,0,0,0,0,3
OTU6082,0,0,0,0,0,0,2,0,0,5,1,5,0,2,0,17,246,0,0,3,0,0,29,0,2,0,2,0,4,0,16,0,0,1,0,0
OTU6083,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU6084,0,1,2,2,0,3,1,0,5,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,5,0,0,1
OTU6085,0,4,2,0,1,2,3,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,0,2,0,0,2,0,0,0,0,0,0,1
OTU6086,0,1,0,0,4,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
OTU6087,0,2,3,0,0,1,2,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
OTU6088,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU6089,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6090,0,5,0,2,0,0,0,0,0,0,2,2,0,4,0,0,1,0,0,2,1,0,2,3,7,1,2,1,0,2,1,0,4,0,0,1
OTU6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU6092,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,2,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
